source_country,target_country,project_count,total_issued_credits,total_retired_credits,project_types
Local/Unknown,Kenya,165,54059831.0,24690193.0,Afforestation + Reforestation; Biochar; Biomass; Clean Water; Cookstove; Electric Vehicle; Energy Efficiency; Geothermal; Grassland Management; Lighting; Manure Biodigester; Methane Biodigester; REDD+; Recycling; Solar Water Heater; Sustainable Agriculture; Unknown; Waste Diversion; Wind
United States,DR Congo,4,42534256.0,23293512.0,Afforestation + Reforestation; Clean Water; REDD+
Local/Unknown,Zimbabwe,10,33215285.0,27945122.0,Cookstove; Energy Efficiency; Lighting; REDD+; Renewable Energy
Local/Unknown,Uganda,143,28261111.0,18730131.0,Afforestation + Reforestation; Clean Water; Cookstove; Energy Efficiency; Hydropower; Methane Biodigester; REDD+; Unknown; Waste Diversion
United States,Kenya,39,23147527.0,13401358.0,Afforestation + Reforestation; Clean Water; Compost; Cookstove; Manure Biodigester; Methane Biodigester; REDD+; Sustainable Agriculture; Unknown
United Kingdom,South Africa,80,14839318.0,13168207.0,Afforestation + Reforestation; Biomass; Centralized Solar; Clean Water; Compost; Cookstove; Distributed Solar; Energy Efficiency; Grassland Management; Landfill; Lighting; Mine Methane; Ozone Depleting Substances; Recycling; Sustainable Agriculture; Unknown
Local/Unknown,Ghana,39,14618510.0,9219273.0,Afforestation + Reforestation; Biochar; Clean Water; Cookstove; REDD+; Sustainable Agriculture; Unknown
Multiple (mixed),Zambia,7,13799605.0,11940504.0,Cookstove; REDD+; Unknown
Local/Unknown,Malawi,81,12413591.0,5986567.0,Afforestation + Reforestation; Centralized Solar; Clean Water; Cookstove; Energy Efficiency; Lighting; REDD+; Sustainable Agriculture; Unknown; Wastewater Methane
Local/Unknown,Nigeria,89,11300802.0,5710199.0,Afforestation + Reforestation; Clean Water; Cookstove; Distributed Solar; Electric Vehicle; Energy Efficiency; Sustainable Agriculture; Unknown
Local/Unknown,Ethiopia,39,11174895.0,8503147.0,Afforestation + Reforestation; Clean Water; Cookstove; Lighting; REDD+; Unknown
Local/Unknown,Zambia,43,9510392.0,4749022.0,Afforestation + Reforestation; Clean Water; Cookstove; Energy Efficiency; Grassland Management; Lighting; REDD+; Renewable Energy; Unknown
Multiple (mixed),Rwanda,2,8552433.0,3248954.0,Cookstove
United Kingdom,Rwanda,65,8207382.0,2078677.0,Borehole; Clean Water; Cookstove; Energy Efficiency; Hydropower; Methane Biodigester; Unknown
United Kingdom,Tanzania,15,6125602.0,5202182.0,Afforestation + Reforestation; Clean Water; Cookstove; Energy Efficiency; REDD+; Unknown
Local/Unknown,Madagascar,54,6015032.0,3830739.0,Afforestation + Reforestation; Borehole; Centralized Solar; Clean Water; Compost; Cookstove; Distributed Solar; Hydropower; Lighting; REDD+; Unknown; Wetland
Local/Unknown,Cote d'Ivoire,11,5607636.0,755390.0,Afforestation + Reforestation; Centralized Solar; Cookstove; Hydropower; REDD+; Unknown
Multiple (mixed),Malawi,5,5268112.0,3409100.0,Afforestation + Reforestation; Cookstove; REDD+
Multiple (mixed),South Africa,17,5033375.0,2171122.0,Afforestation + Reforestation; Biomass; Centralized Solar; N\u2082O Destruction (Nitric Acid); Renewable Energy; Sustainable Agriculture; Unknown; Wind
Local/Unknown,Burundi,12,4761112.0,1637593.0,Cookstove
European Union,Madagascar,8,4302290.0,303208.0,Afforestation + Reforestation; Centralized Solar; Distributed Solar; Hydropower; REDD+; Renewable Energy; Unknown
