buyer_country,african_country,project_type,project_name,proponent,issued_credits,retired_credits,project_id,project_url
United States,DR Congo,REDD+,The Mai Ndombe REDD+ Project,Wildlife Works Carbon LLC,42534256.0,23293512.0,VCS934,https://registry.verra.org/app/projectDetail/VCS/934
Local/Unknown,Zimbabwe,REDD+,KARIBA REDD+ PROJECT,Carbon Green Investments (Guernsey),29016364.0,25706778.0,VCS902,https://registry.verra.org/app/projectDetail/VCS/902
United States,Kenya,REDD+,The Kasigau Corridor REDD Project - Phase II The Community Ranches,Wildlife Works Carbon LLC,17720553.0,8992884.0,VCS612,https://registry.verra.org/app/projectDetail/VCS/612
Multiple (mixed),Zambia,REDD+,Luangwa Community Forests Project,Multiple Proponents,12067488.0,11396399.0,VCS1775,https://registry.verra.org/app/projectDetail/VCS/1775
Local/Unknown,Ethiopia,REDD+,Bale Mountains Eco-region REDD+ project,Oromia Forest and Wildlife Enterprise,10595345.0,8143102.0,VCS1340,https://registry.verra.org/app/projectDetail/VCS/1340
Local/Unknown,Kenya,Grassland Management,Northern Kenya Grassland Carbon Project,Northern Rangelands Trust,6763174.0,1975548.0,VCS1468,https://registry.verra.org/app/projectDetail/VCS/1468
Local/Unknown,Kenya,REDD+,Chyulu Hills REDD+ Project,Chyulu Hills Conservation Trust,5172697.0,4820742.0,VCS1408,https://registry.verra.org/app/projectDetail/VCS/1408
European Union,Madagascar,REDD+,"Carbon Emissions Reduction Project in the Corridor Ankeniheny-Zahamena (CAZ) Protected Area, Madagascar","Govt. of Madagascar, Direction Generale des Forets",3915496.0,30290.0,VCS1311,https://registry.verra.org/app/projectDetail/VCS/1311
United Kingdom,Tanzania,REDD+,Ntakata Mountains REDD,Carbon Tanzania,3871700.0,3409460.0,VCS1897,https://registry.verra.org/app/projectDetail/VCS/1897
United States,Kenya,REDD+,The Kasigau Corridor REDD Project – Phase I Rukinga Sanctuary,Wildlife Works Carbon LLC,3818704.0,3522111.0,VCS562,https://registry.verra.org/app/projectDetail/VCS/562
Multiple (mixed),Malawi,REDD+,"Kulera Landscape REDD+ Program for Co-Managed Protected Areas, Malawi",Multiple Proponents,3325607.0,2993736.0,VCS1168,https://registry.verra.org/app/projectDetail/VCS/1168
Local/Unknown,Sierra Leone,REDD+,Gola REDD project,Gola Rainforest Conservation LG,2672520.0,2247435.0,VCS1201,https://registry.verra.org/app/projectDetail/VCS/1201
Local/Unknown,Zambia,REDD+,LOWER ZAMBEZI REDD+ PROJECT,BioCarbon Partners,2421395.0,2415731.0,VCS1202,https://registry.verra.org/app/projectDetail/VCS/1202
Local/Unknown,Madagascar,REDD+,The Makira Forest Protected Area in Madagascar,The Wildlife Conservation Society (WCS),1796963.0,626567.0,VCS1215,https://registry.verra.org/app/projectDetail/VCS/1215
Local/Unknown,Zambia,REDD+,COMACO Landscape Management Project,Community Markets for Conservation (COMACO),1638099.0,1093360.0,VCS1532,https://registry.verra.org/app/projectDetail/VCS/1532
Local/Unknown,DR Congo,REDD+,Isangi REDD+ Project,"SAFBOIS, SPRL",1391623.0,1291248.0,VCS1359,https://registry.verra.org/app/projectDetail/VCS/1359
United Kingdom,Uganda,Afforestation + Reforestation,Kikonda Forest Reserve ,Nile Fibreboard Ltd.,1354120.0,688211.0,GLD2990,https://registry.goldstandard.org/projects?q=gs2990
Local/Unknown,Central African Republic,REDD+,"CHINKO CONSERVATION AREA REDD+ PROJECT, CENTRAL AFRICAN REPUBLIC",African Parks RCA,1294618.0,105496.0,VCS2510,https://registry.verra.org/app/projectDetail/VCS/2510
United Kingdom,Tanzania,REDD+,Makame Savannah REDD,Carbon Tanzania,1239936.0,901185.0,VCS1900,https://registry.verra.org/app/projectDetail/VCS/1900
United Kingdom,Ghana,Afforestation + Reforestation,Reforestation of Degraded Forest Reserves in Ghana,Form Ghana Ltd,1138349.0,997777.0,VCS987,https://registry.verra.org/app/projectDetail/VCS/987
Local/Unknown,Uganda,Afforestation + Reforestation,Natural High Forest Rehabilitation Project on degraded land of Kibale National Park,PRIMAKLIMA e.V.,1092577.0,1054498.0,VCS673,https://registry.verra.org/app/projectDetail/VCS/673
Local/Unknown,Kenya,Afforestation + Reforestation,"TIST Program in Kenya, VCS 006",Clean Air Action Corporation,1001808.0,967961.0,VCS899,https://registry.verra.org/app/projectDetail/VCS/899
